Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
11.Mar.2019,14:53,220.79,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,01:21,227.11,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,22:17,223.29,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,03:21,227.47,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,12:49,227.35,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
13.Mar.2019,20:43,224.44,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
16.Mar.2019,17:35,225.69,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
18.Mar.2019,01:58,223.16,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
20.Mar.2019,09:32,228.26,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
21.Mar.2019,04:43,222.63,11:54:55,Thu 21 Mar 2019,Is it down right now?,MegaPath
