Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,06:16,91.58,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,16:37,93.89,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,21:40,88.88,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,06:28,87.44,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,16:19,91.97,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,13:09,73.03,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
20.Mar.2019,19:21,74.56,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,03:14,69.02,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,14:15,87.15,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
21.Mar.2019,21:54,87.97,19:12:30,Thu 21 Mar 2019,Is it down right now?,CenturyLink
