Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
19.Mar.2019,11:35,6.34,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
19.Mar.2019,18:34,10.35,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,02:10,5.2,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,17:15,5.39,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,23:36,4.94,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
19.Mar.2019,15:46,4.89,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
19.Mar.2019,22:21,8.79,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,11:52,5.04,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
20.Mar.2019,19:50,5.66,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
21.Mar.2019,02:23,4.96,13:05:46,Thu 21 Mar 2019,Is it down right now?,MetroPCS
