Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Brooklyn, NY",669, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"New York City, NY",231, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"The Bronx, NY",212, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Newark, NJ",140, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Flushing, NY",123, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Jersey City, NJ",46, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Bridgeport, CT",29, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"East Orange, NJ",23, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Union City, NJ",17, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Philadelphia, PA",16, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Wayne, NJ",16, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Secaucus, NJ",16, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Piscataway, NJ",15, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Edison, NJ",15, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"New Haven, CT",14, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Linden, NJ",13, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Bronx, NY",13, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Rahway, NJ",13, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Silver Spring, MD",12, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Washington, D.C., DC",12, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Foxborough, MA",12, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Meriden, CT",12, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Lanham, MD",12, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Madison, NJ",11, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Valley Stream, NY",11, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"South Orange, NJ",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Matawan, NJ",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Elizabeth, NJ",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Detroit, MI",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Lynbrook, NY",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Clark, NJ",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"New Rochelle, NY",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Lyons, NJ",10, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Yonkers, NY",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Paterson, NJ",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Metuchen, NJ",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Boston, MA",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"New City, NY",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Colonia, NJ",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Milford, CT",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"South Plainfield, NJ",9, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Maplewood, NJ",8, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Syracuse, NY",8, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Bayonne, NJ",8, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Lyndhurst, NJ",8, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Stamford, CT",8, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"New Hyde Park, NY",8, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Garfield, NJ",7, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Cresskill, NJ",7, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
"Norwalk, CT",7, Problems detected ,1.68%,11.45%,Thu 21 Mar 2019 13:33:10,optimum-cablevision,Is the service down,7.41%,64.98%,5.72%,8.75%
