Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,06:46,160.05,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,15:41,510.18,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,22:06,1512.52,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,05:01,125.52,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,16:02,1511.18,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,09:19,1511.03,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
20.Mar.2019,18:20,510.09,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,02:54,125.55,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,07:54,125.54,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
21.Mar.2019,20:06,125.5,19:12:30,Thu 21 Mar 2019,Is it down right now?,Cox
