Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,14:28,7.85,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,22:58,6.89,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,04:35,17.14,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,15:08,6.88,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,20:09,6.96,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
20.Mar.2019,16:40,7.69,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,01:45,7.14,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,12:46,16.29,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,17:50,7.15,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
21.Mar.2019,22:15,7.24,19:12:30,Thu 21 Mar 2019,Is it down right now?,DirecTV
